image_index,num_custom_regions,num_cv_regions,num_original_cv_regions,avg_iou,median_iou,min_iou,misses,perfect_matches,avg_iou_rev,median_iou_rev,min_iou_rev,misses_rev,perfect_matches_rev
0,91,103,631,0.8632837490544446,0.8888888888888888,0.12578616352201258,2,5,0.8494794964178819,0.8775510204081632,0.39111111111111113,1,5
1,67,80,383,0.8735218335204729,0.8873239436619719,0.6685393258426966,0,3,0.8053726422879712,0.8576667830946559,0.013284470911589555,6,3
2,66,62,276,0.8508153898482956,0.9120011911852293,0.0,4,3,0.8804664744907847,0.9120011911852293,0.44696969696969696,1,2
3,112,129,582,0.8740281984428291,0.9094223538794577,0.0,1,2,0.8307089437784144,0.8854961832061069,0.0,6,2
4,59,67,645,0.811903146539803,0.8606741573033708,0.00398406374501992,3,0,0.8093864391685459,0.8398474737845567,0.09033078880407125,4,0
5,183,189,557,0.8978580023567695,0.9206349206349206,0.02707647274057812,1,14,0.8648991468924603,0.9099099099099099,0.0,4,14
6,100,112,489,0.8842975042733845,0.9247118836198753,0.0,4,6,0.8783986433180573,0.9047063096720631,0.49586776859504134,2,6
7,97,99,353,0.8712570828784107,0.8902439024390244,0.014492753623188406,1,2,0.8519317117278801,0.8887045944601095,0.0006676062606631555,4,2
8,99,112,426,0.8626880042725438,0.921875,0.08902029726706089,5,4,0.8498853632494395,0.9021335807050093,0.0,7,4
9,86,97,426,0.8967891623097911,0.917162363120184,0.6433566433566433,0,9,0.8567504325001148,0.9047619047619048,0.0,2,9
10,45,47,311,0.8802995584093932,0.9118110236220472,0.5284552845528455,0,3,0.8442507216528086,0.9051094890510949,0.0,2,3
11,106,111,437,0.8474145241737632,0.890367905342947,0.0,4,0,0.8493462559820908,0.8868778280542986,0.02527505203687184,2,0
12,54,59,211,0.8463119179940337,0.8957303779069767,0.15041782729805014,4,1,0.8296057474091773,0.8899082568807339,0.0,3,1
13,128,135,453,0.8918599469014081,0.9095185728250244,0.6291946308724832,0,4,0.8527448049038311,0.9012875536480687,0.0,5,4
14,66,80,463,0.8700400992212699,0.8989807062249727,0.0,1,5,0.8474524351366366,0.8758385590459945,0.4347477982385909,1,4
15,74,75,312,0.8661672886302325,0.900920019917957,0.0,1,2,0.8537574764154372,0.8938053097345132,0.0,2,2
16,73,70,199,0.8790077283820156,0.9207650273224044,0.0,2,3,0.8814707838181027,0.9202487343969882,0.0,2,3
17,114,118,494,0.8848360353050657,0.9028737220226581,0.0,1,6,0.8484738518010556,0.8908380775850655,0.0,5,6
18,218,216,756,0.8635246214456905,0.9207076149425287,0.0,10,14,0.8888640256837784,0.9207076149425287,0.0,2,14
19,86,94,386,0.8758337308343525,0.9070247933884297,0.0005022601707684581,3,3,0.839968681225561,0.8956439301862025,0.0,4,3
20,89,96,313,0.8880146664560716,0.9078341013824884,0.36376681614349776,3,5,0.8431765126074735,0.8998248128682911,0.0,4,5
21,89,95,377,0.8563624214256191,0.8816155988857939,0.4322033898305085,1,2,0.8502657456556941,0.8766404199475065,0.4387186629526462,1,2
22,92,95,438,0.8706225490752653,0.8970588235294118,0.39869281045751637,3,5,0.8580481562844245,0.8966666666666666,0.0,3,5
23,51,61,334,0.8584311263269391,0.8866995073891626,0.0,1,2,0.8565064333329521,0.8609271523178808,0.549800796812749,0,2
24,19,20,82,0.9007003605278893,0.9547511312217195,0.6171428571428571,0,1,0.8439956293132311,0.9451083168683334,0.4008163265306122,2,1
25,61,68,306,0.8725700173267233,0.903954802259887,0.02666666666666667,1,1,0.863405104799909,0.8859993390068579,0.45,1,1
26,86,94,433,0.8592210788931349,0.9063526834611172,0.02711367591829257,3,2,0.8601839276686565,0.8899871151498712,0.45896656534954405,3,2
27,112,129,582,0.8740281984428291,0.9094223538794577,0.0,1,2,0.8307089437784144,0.8854961832061069,0.0,6,2
28,138,136,465,0.8752122719149353,0.8952749738948834,0.0,3,6,0.8428620343725223,0.8899851703023345,0.0,9,6
29,51,61,334,0.8584311263269391,0.8866995073891626,0.0,1,2,0.8565064333329521,0.8609271523178808,0.549800796812749,0,2
30,120,103,440,0.8432454832510944,0.8993887410036479,0.0,6,7,0.87296371871697,0.9130434782608695,0.0,3,7
31,67,65,276,0.8752803831621159,0.8933333333333333,0.1149510408952522,1,2,0.8820668768060516,0.8923076923076924,0.5693430656934306,0,2
32,110,113,422,0.8832782044104124,0.9196774193548387,0.24496644295302014,3,9,0.8556399981193468,0.9102564102564102,0.0,4,9
33,65,61,399,0.8241070557986064,0.8489208633093526,0.0023825478370932914,2,0,0.8526531286914217,0.8489208633093526,0.684931506849315,0,0
34,105,124,461,0.8849916659762209,0.9166666666666666,0.0,2,4,0.8392908970609374,0.892548630920724,0.0,5,4
35,297,291,1031,0.8625011987022031,0.9130434782608695,0.0,14,13,0.8638210604234551,0.9101941747572816,0.0,8,13
36,88,104,390,0.8780237383213951,0.9001052881129024,0.20212765957446807,1,2,0.8443747624823105,0.8853658536585365,0.0,4,2
37,77,78,366,0.8718195500406434,0.9133858267716536,0.0,2,2,0.8588314770657532,0.9035992368380343,0.0,2,2
38,113,118,414,0.887986150987881,0.922077922077922,0.0,1,8,0.8736971401511338,0.9091478453236872,0.023954372623574145,1,8
39,95,104,532,0.8617569875529603,0.8971428571428571,0.0,4,1,0.8552275835929688,0.8821589725789656,0.4745762711864407,2,1
40,86,94,433,0.8592210788931349,0.9063526834611172,0.02711367591829257,3,2,0.8601839276686565,0.8899871151498712,0.45896656534954405,3,2
41,54,61,177,0.8592250554362332,0.8842787526449655,0.018375597206909223,1,1,0.8370839626007885,0.8767123287671232,0.0,2,1
42,61,68,306,0.8725700173267233,0.903954802259887,0.02666666666666667,1,1,0.863405104799909,0.8859993390068579,0.45,1,1
43,63,71,284,0.8614015081657135,0.9041095890410958,0.5042016806722689,0,1,0.8401330511887037,0.89,0.18734015345268543,1,1
44,64,80,735,0.8813392258582904,0.8919398955215121,0.5700934579439252,0,0,0.8482475727994654,0.8793094321144506,0.5046343975283213,0,0
